Date,Open,High,Low,Close,Volume
1508947200,5712.000000,5990.000000,5400.000000,5875.910000,8509059.112322
1509033600,5876.000000,5948.520000,5669.930000,5739.000000,3066162.752128
1509120000,5743.430000,5791.800000,5637.630000,5658.620000,1735743.411269
1509206400,5656.460000,5977.300000,5648.030000,5936.950000,1474286.661431
1509292800,5940.770000,6215.800000,5875.000000,6076.900000,1663914.385260
1509379200,6076.870000,6384.910000,6051.360000,6339.650000,1429026.462259
1509465600,6339.180000,6590.720000,6285.000000,6562.730000,2268445.445944
1509552000,6561.600000,7100.000000,6560.180000,7026.150000,7135970.351716
1509638400,7026.150000,7322.900000,6850.010000,7317.560000,15782943.546055
1509724800,7316.880000,7318.470000,6967.410000,7305.170000,22853058.704143
1509811200,7305.170000,7542.060000,7305.170000,7516.940000,11882128.846528
1509897600,7512.860000,7537.890000,7150.010000,7230.230000,8345485.052964
1509984000,7230.230000,7244.980000,6969.620000,7008.200000,13621093.155028
1510070400,7008.260000,7486.610000,6969.020000,7471.720000,23305004.499577
1510156800,7468.570000,7685.320000,7062.770000,7142.030000,37174740.613838
1510243200,7142.040000,7287.670000,6706.530000,6813.690000,27749582.351587
1510329600,6813.690000,6940.780000,6040.640000,6120.880000,34590945.232878
1510416000,6120.000000,6500.000000,5205.000000,6142.330000,55788952.264200
1510502400,6140.100000,6730.310000,5648.990000,6644.690000,49718000.615282
1510588800,6644.840000,6651.230000,6229.600000,6455.920000,27486168.604988
1510675200,6452.510000,7286.000000,6425.000000,7265.170000,31872301.568342
1510761600,7265.170000,7501.000000,7104.000000,7427.720000,43551796.088459
1510848000,7427.720000,7950.000000,7390.520000,7926.390000,70494823.787677
1510934400,7927.880000,7950.000000,7400.000000,7645.910000,46767852.510903
1511020800,7644.180000,7825.000000,7609.850000,7762.960000,37839606.294554
1511107200,7764.940000,8247.990000,7758.570000,8200.240000,47425765.988723
1511193600,8205.810000,8382.900000,7859.510000,8363.280000,46650955.307044
1511280000,8361.140000,8399.000000,8070.930000,8263.690000,49557449.642773
1511366400,8263.720000,8287.040000,8070.000000,8250.340000,58160893.450380
1511452800,8250.440000,8412.990000,7974.280000,8133.000000,66618115.734520
1511539200,8133.000000,8555.000000,8067.120000,8502.560000,49219081.528758
1511625600,8504.080000,9059.990000,8471.020000,9058.000000,56659989.731494
1511712000,9059.000000,9700.000000,9050.000000,9597.670000,74661072.232043
1511798400,9589.050000,9942.360000,9450.000000,9872.920000,69728005.568915
1511884800,9873.070000,11296.000000,9834.050000,10897.500000,103039568.768289
1511971200,10899.810000,11100.590000,8860.880000,9113.390000,112546046.427505
1512057600,9124.560000,10686.070000,9099.710000,10449.920000,80874486.055863
1512144000,10447.420000,11381.000000,10351.480000,10707.690000,72989546.206200
1512230400,10707.710000,11788.900000,10707.020000,11733.500000,64440318.286013
1512316800,11732.020000,11788.200000,10519.270000,11300.000000,85111560.286418
1512403200,11295.100000,11870.200000,11105.150000,11789.170000,80329394.330704
1512489600,11790.080000,12878.630000,11587.440000,12417.280000,115051017.465017
1512576000,12417.280000,15555.000000,12330.000000,15403.930000,169527543.003160
1512662400,15403.930000,17899.000000,13981.200000,15411.000000,204588251.669377
1512748800,15411.000000,16150.000000,14300.000000,14439.440000,94822925.652927
1512835200,14439.240000,15500.000000,12619.010000,15200.000000,128603868.720670
1512921600,15200.000000,16499.000000,14327.100000,16400.440000,100443858.279754
1513008000,16400.440000,17286.850000,15694.910000,16318.860000,160824067.248642
1513094400,16318.840000,16650.780000,14999.000000,15954.640000,128157387.099273
1513180800,15954.640000,16658.300000,15333.000000,16116.000000,140723251.537355
1513267200,16116.000000,18000.000000,15900.000000,17600.000000,182712630.927472
1513353600,17600.000000,18949.800000,17150.000000,18947.170000,131941770.732810
1513440000,18947.170000,19875.850000,18460.840000,19194.030000,158287047.267825
1513526400,19194.030000,19460.000000,17700.000000,18674.200000,177898460.777358
1513612800,18695.230000,18978.910000,17200.000000,17499.860000,185220653.839433
1513699200,17499.060000,18089.990000,15701.000000,16631.280000,168251350.371533
